,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
79800,79800,79800,46:24.0,-1.063509,-0.1669973,0.07031465,2.319407,2.624592,0.4272591,17.22,1017.589,0,0,0,0
79801,79801,79801,46:24.1,-0.6704306,-0.02392651,0.06445509,6.34785,-2.685629,-7.446517,17.22,1017.562,0,0,0,0
79802,79802,79802,46:24.2,-0.8432875,-0.02294992,0.1777398,1.831111,1.586962,-13.42814,17.23,1017.543,0,0,0,0
79803,79803,79803,46:24.2,-0.7925047,-0.09424116,0.1591845,-10.01007,5.73748,-15.38133,17.23,1017.543,0,0,0,0
79804,79804,79804,46:24.3,-0.9946592,-0.1723685,0.1367229,-10.25422,4.882962,5.432295,17.23,1017.57,0,0,0,0
79805,79805,79805,46:24.4,-1.769585,-0.5405439,0.05273598,5.371258,-3.845332,22.94992,17.22,1017.562,0,0,0,0
79806,79806,79806,46:24.5,-0.9883114,-0.2871181,0.06445509,-8.78933,-18.98251,-4.943998,17.22,1017.562,0,0,0,0
79807,79807,79807,46:24.6,-0.7373272,-0.1157262,-0.001953185,-1.342814,-8.178961,-6.714072,17.22,1017.562,0,0,0,0
79808,79808,79808,46:24.6,-0.8667257,-0.1606494,-0.06445509,1.770074,-12.57363,-3.601184,17.22,1017.562,0,0,0,0
79809,79809,79809,46:24.7,-0.8413343,0.01757866,0.0512711,12.57363,-2.502518,7.446517,17.22,1017.535,0,0,0,0
79810,79810,79810,46:24.8,-2.304758,-0.7295145,0.3540147,1.586962,7.446517,36.68325,17.22,1017.562,0,0,0,0
79811,79811,79811,46:24.9,-0.8027589,-0.1621143,-0.02050844,7.324442,16.48,-5.859554,17.22,1017.562,0,0,0,0
79812,79812,79812,46:25.0,-0.822779,-0.1757866,0.06152532,1.098666,-0.2441481,-10.49837,17.22,1017.535,0,0,0,0
79813,79813,79813,46:25.0,-0.6147649,-0.003906369,0.1084017,17.21244,-1.037629,-12.93985,17.23,1017.57,0,0,0,0
79814,79814,79814,46:25.1,-0.8847926,-0.1206091,0.2436598,9.277627,-3.967406,-28.32118,17.23,1017.605,0,0,0,0
79815,79815,79815,46:25.2,-0.7119358,-0.441908,0.1811579,-12.08533,6.408887,-15.13718,17.23,1017.597,0,0,0,0
79816,79816,79816,46:25.3,-1.33842,0.05420087,0.2304758,-12.39051,4.882962,44.80117,17.22,1017.589,0,0,0,0
