,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
77538,77538,77538,43:23.0,-1.155309,-0.2758873,-0.06836146,-21.42399,-0.8545183,7.446517,17.76,1017.637,0,0,1,73
77539,77539,77539,43:23.1,-0.7885983,-0.005371258,0.0634785,15.5034,0.4272591,-8.362072,17.76,1017.609,0,0,1,73
77540,77540,77540,43:23.2,-0.8940703,-0.04199347,0.1464888,22.15644,3.723258,-16.35792,17.76,1017.637,0,0,1,73
77541,77541,77541,43:23.3,-0.7358623,-0.2099673,0.1440474,14.3437,5.859554,-15.25925,17.76,1017.691,0,0,1,73
77542,77542,77542,43:23.4,-1.273965,-0.2675863,-0.02734458,8.972442,-6.164739,4.150517,17.76,1017.664,0,0,1,73
77543,77543,77543,43:23.4,-1.195837,-0.3999146,-0.0258797,0.9765923,-26.00177,13.91644,17.76,1017.637,0,0,1,73
77544,77544,77544,43:23.5,-0.9409467,-0.2397534,-0.03076266,1.892148,-10.5594,-4.150517,17.76,1017.664,0,0,1,73
77545,77545,77545,43:23.6,-0.8315684,-0.09961241,-0.06787317,5.371258,-4.150517,-17.02933,17.76,1017.637,0,0,1,73
77546,77546,77546,43:23.7,-0.989288,-0.2085025,-0.06787317,2.807703,-17.09036,-15.74755,17.76,1017.637,0,0,1,73
77547,77547,77547,43:23.8,-1.103061,-0.1635792,-0.04638813,5.432295,1.22074,-0.4882962,17.76,1017.644,0,0,1,73
77548,77548,77548,43:23.8,-0.8525651,-0.4853664,0.0512711,-13.8554,17.1514,12.39051,17.76,1017.644,0,0,1,73
77549,77549,77549,43:23.9,-1.007843,-0.4409314,-0.1152379,-3.051851,27.10044,0.1831111,17.76,1017.644,0,0,1,73
77550,77550,77550,43:24.0,-0.8379162,-0.1601611,0.0507828,6.469924,-2.075259,3.112888,17.76,1017.582,0,0,1,73
77551,77551,77551,43:24.1,-0.6684774,-0.08984649,0.1142613,22.46162,0.5493332,-16.96829,17.75,1017.601,0,0,1,73
77552,77552,77552,43:24.2,-0.8242439,-0.1655324,0.1323283,8.911405,3.601184,-14.22163,17.75,1017.601,0,0,1,73
77553,77553,77553,43:24.2,-0.9385052,-0.2876064,0.06054872,-4.394665,5.798517,7.263405,17.76,1017.609,0,0,1,73
77554,77554,77554,43:24.3,-1.59917,-0.5752129,-0.04931791,4.638813,-4.821925,29.11466,17.76,1017.609,0,0,1,73
77555,77555,77555,43:24.4,-1.016144,-0.3408307,0.09131138,8.484145,-11.47496,14.52681,17.75,1017.601,0,0,1,73
