,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
74375,74375,74375,39:10.0,-0.791528,-0.04541154,-0.02099673,-23.01096,-4.08948,-2.624592,18.31,1017.469,0,0,1,2
74376,74376,74376,39:10.1,-1.938536,-0.3144627,0.2988372,-12.39051,5.798517,19.53185,18.31,1017.496,0,0,1,2
74377,74377,74377,39:10.2,-1.191931,-0.3393658,0.08008057,-4.699851,16.66311,1.953185,18.3,1017.488,0,0,1,2
74378,74378,74378,39:10.2,-0.7856685,-0.08740501,0.05371258,-1.525926,-3.47911,-14.22163,18.3,1017.453,0,0,1,2
74379,74379,74379,39:10.3,-0.6718955,0.01025422,0.08301035,29.78607,-5.615406,-25.45244,18.3,1017.453,0,0,1,2
74380,74380,74380,39:10.4,-0.9858699,-0.04150517,0.2783288,22.27851,-19.9591,-31.37303,18.3,1017.48,0,0,1,2
74381,74381,74381,39:10.5,-0.7710196,-0.06152532,0.1811579,1.525926,-6.653035,-22.46162,18.3,1017.453,0,0,1,2
74382,74382,74382,39:10.6,-1.113804,-0.2866299,-0.1499069,-1.892148,-4.028443,23.7434,18.3,1017.453,0,0,1,2
74383,74383,74383,39:10.6,-0.976104,-0.1328166,-0.0512711,-19.22666,-14.09955,0.6714072,18.3,1017.461,0,0,1,2
74384,74384,74384,39:10.7,-0.849147,-0.09082308,-0.02392651,-11.10874,-5.249184,-2.929777,18.3,1017.461,0,0,1,2
74385,74385,74385,39:10.8,-0.8042238,-0.126957,-0.06250191,-5.676443,-2.319407,-7.385479,18.3,1017.461,0,0,1,2
74386,74386,74386,39:10.9,-0.7295145,-0.1001007,-0.1289102,-4.211555,1.709037,-4.882962,18.3,1017.48,0,0,1,2
74387,74387,74387,39:11.0,-0.9922178,-0.201178,-0.06006043,-0.4882962,8.850368,11.78014,18.3,1017.516,0,0,1,2
74388,74388,74388,39:11.0,-1.079623,-0.271981,0.1215857,0.9765923,16.23585,18.98251,18.3,1017.488,0,0,1,2
74389,74389,74389,39:11.1,-1.174841,-0.2392651,0.06738487,9.277627,15.13718,-0.7324442,18.3,1017.488,0,0,1,2
74390,74390,74390,39:11.2,-0.7226783,-0.06201361,0.06103702,16.17481,4.272591,-10.37629,18.3,1017.508,0,0,1,2
74391,74391,74391,39:11.3,-0.7075411,-0.0253914,0.1694388,18.31111,0.7324442,-18.61629,18.3,1017.48,0,0,1,2
74392,74392,74392,39:11.4,-0.7959228,-0.03076266,0.2026429,11.90222,4.272591,-12.93985,18.3,1017.48,0,0,1,2
74393,74393,74393,39:11.4,-0.9956359,-0.1435591,0.1982482,0.5493332,3.906369,5.981628,18.3,1017.48,0,0,1,2
74394,74394,74394,39:11.5,-1.54741,-0.3715934,0.05566576,3.47911,-3.540147,20.20325,18.3,1017.48,0,0,1,2
74395,74395,74395,39:11.6,-1.044954,-0.2329173,0.1865291,1.831111,-8.056887,11.41392,18.3,1017.48,0,0,1,2
74396,74396,74396,39:11.7,-0.897,-0.1084017,0.1245155,1.037629,3.295999,4.08948,18.3,1017.453,0,0,1,2
74397,74397,74397,39:11.8,-0.717307,-0.08594012,0.13184,0.1831111,2.25837,-1.648,18.3,1017.453,0,0,1,2
74398,74398,74398,39:11.8,-0.8393811,-0.1416059,0.0253914,-1.159703,-6.591998,-15.01511,18.3,1017.453,0,0,1,2
74399,74399,74399,39:11.9,-0.9067659,-0.140141,0.06933805,5.066072,-5.005035,-10.86459,18.3,1017.453,0,0,1,2
74400,74400,74400,39:12.0,-1.749077,-0.4150517,0.3354595,9.521775,3.784295,12.45155,18.3,1017.453,0,0,1,2
74401,74401,74401,39:12.1,-1.236366,-0.5146642,0.1499069,15.93066,16.48,-10.37629,18.3,1017.453,0,0,1,2
74402,74402,74402,39:12.2,-0.7026582,-0.09228797,0.2119205,39.97925,-4.882962,-18.06696,18.3,1017.48,0,0,1,2
74403,74403,74403,39:12.2,-0.7226783,-0.1362346,0.2797937,26.00177,0.122074,-6.775109,18.29,1017.527,0,0,1,2
74404,74404,74404,39:12.3,-0.8056887,-0.3510849,0.1982482,9.21659,3.601184,2.563555,18.3,1017.508,0,0,1,2
74405,74405,74405,39:12.4,-1.575732,-0.3261818,0.2085025,13.97748,-2.563555,37.53777,18.3,1017.48,0,0,1,2
74406,74406,74406,39:12.5,-1.097201,-0.280282,0.253914,15.44237,-3.723258,24.53688,18.3,1017.508,0,0,1,2
74407,74407,74407,39:12.6,-0.9785455,-0.08545183,0.1196326,-2.319407,-3.540147,19.59288,18.3,1017.453,0,0,1,2
74408,74408,74408,39:12.6,-0.7578356,0.02734458,0.08594012,-9.033479,-5.310221,11.536,18.3,1017.48,0,0,1,2
74409,74409,74409,39:12.7,-0.910184,0.04248177,0.06836146,-13.67229,-5.432295,-2.441481,18.3,1017.48,0,0,1,2
74410,74410,74410,39:12.8,-0.8398694,-0.1152379,-0.03173925,-19.77599,-4.08948,0.3051851,18.3,1017.508,0,0,1,2
74411,74411,74411,39:12.9,-1.172399,-0.1894589,0.005371258,-14.40474,9.521775,19.59288,18.3,1017.453,0,0,1,2
74412,74412,74412,39:13.0,-1.00589,-0.1821345,0.2558672,1.22074,19.89807,21.30192,18.3,1017.48,0,0,1,2
74413,74413,74413,39:13.0,-0.9971008,-0.1162145,0.1513718,18.98251,4.028443,-9.582812,18.3,1017.453,0,0,1,2
74414,74414,74414,39:13.1,-0.7109592,-0.007324442,0.1792047,24.17066,-5.493332,-16.23585,18.3,1017.453,0,0,1,2
74415,74415,74415,39:13.2,-0.893582,0.003906369,0.2387768,18.31111,-4.699851,-13.30607,18.3,1017.426,0,0,1,2
74416,74416,74416,39:13.3,-0.8447524,0.09472945,0.2207099,5.981628,0.6103702,-6.714072,18.29,1017.445,0,0,1,2
74417,74417,74417,39:13.4,-0.9751274,-0.0512711,0.2841884,-1.953185,0.3051851,0.9765923,18.29,1017.445,0,0,1,2
74418,74418,74418,39:13.4,-1.366253,-0.1342814,0.02783288,-9.033479,-13.30607,4.394665,18.29,1017.445,0,0,1,2
74419,74419,74419,39:13.5,-1.020051,-0.1323283,0.1357463,-8.850368,-17.57866,-0.06103702,18.29,1017.418,0,0,1,2
