,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
78225,78225,78225,44:18.0,-1.12064,-0.2465896,-0.01562548,4.760888,11.35289,14.64888,17.59,1017.681,0,0,1,74
78226,78226,78226,44:18.1,-0.9717094,-0.2446364,0.05175939,-6.836146,-1.403851,2.441481,17.59,1017.709,0,0,1,74
78227,78227,78227,44:18.2,-0.7026582,-0.1049837,-0.03515732,-22.88888,13.30607,0.6714072,17.59,1017.681,0,0,1,74
78228,78228,78228,44:18.2,-0.8178961,-0.2475661,-0.1357463,-29.96918,8.545182,-5.005035,17.6,1017.662,0,0,1,74
78229,78229,78229,44:18.3,-0.9267861,-0.2866299,-0.1430708,-18.06696,4.333628,-2.990814,17.6,1017.662,0,0,1,74
78230,78230,78230,44:18.4,-1.043489,-0.1689505,0.03369243,9.582812,17.88385,-2.136296,17.59,1017.654,0,0,1,74
78231,78231,78231,44:18.5,-0.9262978,-0.3613392,0.1591845,3.601184,31.43406,5.066072,17.59,1017.654,0,0,1,74
78232,78232,78232,44:18.6,-1.081576,-0.4907376,0.05664235,-4.821925,21.30192,-13.8554,17.59,1017.654,0,0,1,74
78233,78233,78233,44:18.6,-0.6313669,-0.187994,0.09619434,-2.807703,6.836146,-13.12296,17.59,1017.654,0,0,1,74
78234,78234,78234,44:18.7,-0.6425977,-0.2006897,0.1855525,9.582812,5.310221,-4.333628,17.59,1017.681,0,0,1,74
78235,78235,78235,44:18.8,-0.9614551,-0.1206091,0.166509,1.281777,-10.37629,2.563555,17.6,1017.689,0,0,1,74
78236,78236,78236,44:18.9,-0.8437757,-0.2348704,0.1191443,-1.892148,-19.47081,2.075259,17.6,1017.717,0,0,1,74
78237,78237,78237,44:19.0,-1.167028,-0.3115329,-0.0375988,-1.586962,-27.0394,6.714072,17.59,1017.709,0,0,1,74
78238,78238,78238,44:19.0,-1.115268,-0.4604633,-0.0888699,2.197333,-35.2794,13.8554,17.59,1017.654,0,0,1,74
78239,78239,78239,44:19.1,-0.8896756,-0.2705161,0.04248177,2.075259,-19.65392,4.211555,17.59,1017.681,0,0,1,74
78240,78240,78240,44:19.2,-0.8515885,-0.17481,-0.09717093,-24.53688,-2.86874,1.525926,17.6,1017.689,0,0,1,74
78241,78241,78241,44:19.3,-0.7812738,-0.2304758,-0.1464888,-35.46251,2.380444,-6.164739,17.59,1017.709,0,0,1,74
78242,78242,78242,44:19.4,-0.8198493,-0.1513718,-0.1914121,-33.08207,6.591998,-7.385479,17.59,1017.654,0,0,1,74
78243,78243,78243,44:19.4,-0.8789331,-0.1728568,-0.1777398,-26.00177,6.95822,-4.455702,17.59,1017.681,0,0,1,74
78244,78244,78244,44:19.5,-1.162633,-0.4409314,-0.2421949,-14.09955,5.73748,8.911405,17.59,1017.673,0,0,1,74
78245,78245,78245,44:19.6,-0.7392804,-0.4194464,-0.1337931,-16.78518,-11.59703,5.066072,17.59,1017.673,0,0,1,74
78246,78246,78246,44:19.7,-0.8716086,-0.271981,-0.2749107,-5.371258,-38.51436,-8.545182,17.59,1017.701,0,0,1,74
78247,78247,78247,44:19.8,-0.8281503,-0.2202216,-0.2158269,12.87881,-19.10459,-9.460738,17.59,1017.673,0,0,1,74
78248,78248,78248,44:19.8,-0.9096957,-0.1372112,-0.1718802,14.70992,-3.967406,-6.286813,17.59,1017.646,0,0,1,74
78249,78249,78249,44:19.9,-0.7558824,-0.319834,-0.1059603,5.615406,9.399701,-2.746666,17.59,1017.681,0,0,1,74
78250,78250,78250,44:20.0,-1.095248,-0.2119205,-0.3100681,-8.78933,4.028443,24.10962,17.59,1017.728,0,0,1,74
78251,78251,78251,44:20.1,-1.132847,-0.537614,-0.3046968,-8.78933,-15.93066,28.74844,17.59,1017.728,0,0,1,74
78252,78252,78252,44:20.2,-0.9472945,-0.3501084,-0.1303751,1.098666,-8.301035,6.897183,17.59,1017.701,0,0,1,74
78253,78253,78253,44:20.2,-0.8364513,-0.2334056,-0.2168035,-15.25925,8.056887,-1.892148,17.59,1017.701,0,0,1,74
78254,78254,78254,44:20.3,-0.6982635,-0.2016663,-0.2421949,-16.84622,10.49837,-11.59703,17.59,1017.673,0,0,1,74
78255,78255,78255,44:20.4,-0.7778558,-0.1108432,-0.3242286,-11.29185,10.37629,-8.117924,17.59,1017.673,0,0,1,74
78256,78256,78256,44:20.5,-1.030793,-0.2314524,-0.1816462,-7.202368,7.263405,-6.469924,17.59,1017.673,0,0,1,74
78257,78257,78257,44:20.6,-1.194861,-0.3813593,-0.2075259,-10.07111,27.71081,10.68148,17.59,1017.673,0,0,1,74
78258,78258,78258,44:20.6,-0.9409467,-0.4052858,-0.2807703,-33.26517,27.34459,14.77096,17.58,1017.665,0,0,1,74
78259,78259,78259,44:20.7,-0.8296152,-0.4218879,-0.1909238,-10.07111,20.87466,-19.04355,17.59,1017.646,0,0,1,74
