btx_id,timestamp,major,minor,pos_id,deviceid,lat,lon,recvDate
19,1545173698248,1,19,74,41034,35.002108,137.002465,"2018-12-19 07:54:58+09"
19,1545173699110,1,19,74,41034,35.002108,137.002465,"2018-12-19 07:54:59+09"
19,1545173699256,1,19,74,41034,35.002108,137.002465,"2018-12-19 07:54:59+09"
19,1545173704172,1,19,74,41034,35.002108,137.002465,"2018-12-19 07:55:04+09"
19,1545173706170,1,19,74,41034,35.002108,137.002465,"2018-12-19 07:55:06+09"
19,1545173710168,1,19,74,41034,35.002108,137.002465,"2018-12-19 07:55:10+09"
19,1545173752256,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:55:52+09"
19,1545173754148,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:55:54+09"
19,1545173755201,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:55:55+09"
19,1545173758188,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:55:58+09"
19,1545173763148,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:56:03+09"
19,1545173767189,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:56:07+09"
19,1545173771030,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:56:11+09"
19,1545173772188,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:56:12+09"
19,1545173774228,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:56:14+09"
19,1545173775417,1,19,73,41033,35.002155,137.003213,"2018-12-19 07:56:15+09"
19,1545173782168,1,19,34,40994,35.002192,137.003581,"2018-12-19 07:56:22+09"
19,1545173854188,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:34+09"
19,1545173856176,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:36+09"
19,1545173860147,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:40+09"
19,1545173860249,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:40+09"
19,1545173861647,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:41+09"
19,1545173864195,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:44+09"
19,1545173864248,1,19,33,40993,35.001436,137.003992,"2018-12-19 07:57:44+09"
