,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
78750,78750,78750,45:00.0,-0.8564715,0.02246162,0.1977599,16.35792,14.70992,-20.20325,17.47,1017.599,0,0,1,79
78751,78751,78751,45:00.1,-0.7300028,-0.2627033,0.1543016,-8.850368,10.62044,-11.16977,17.47,1017.591,0,0,1,79
78752,78752,78752,45:00.2,-0.994171,-0.1743217,-0.1460005,-11.71911,0.122074,21.85125,17.47,1017.591,0,0,1,79
78753,78753,78753,45:00.2,-1.310587,-0.5190588,-0.1684622,-1.037629,-15.80859,34.36384,17.47,1017.591,0,0,1,79
78754,78754,78754,45:00.3,-0.9570605,-0.09717093,0.1308634,19.9591,4.272591,11.96326,17.47,1017.591,0,0,1,79
78755,78755,78755,45:00.4,-0.6186712,-0.04589984,0.09033479,13.67229,13.42814,1.770074,17.47,1017.591,0,0,1,79
78756,78756,78756,45:00.5,-0.7744377,-0.1416059,-0.04004028,-1.159703,-6.714072,-8.606219,17.47,1017.618,0,0,1,79
78757,78757,78757,45:00.6,-1.070833,-0.1591845,0.04443495,2.014222,-24.35377,-26.79525,17.47,1017.599,0,0,1,79
78758,78758,78758,45:00.6,-0.7260964,0.05566576,0.0507828,16.54103,-12.32948,-27.58873,17.47,1017.571,0,0,1,79
78759,78759,78759,45:00.7,-1.846736,-0.5791193,0.3173925,-1.281777,11.84118,30.82369,17.48,1017.607,0,0,1,79
78760,78760,78760,45:00.8,-0.954619,-0.3178808,-0.000976592,-5.432295,15.62548,16.11377,17.47,1017.626,0,0,1,79
78761,78761,78761,45:00.9,-0.897,-0.2553789,-0.04394665,-15.13718,-2.014222,1.281777,17.47,1017.626,0,0,1,79
78762,78762,78762,45:01.0,-0.7050996,-0.06445509,0.002441481,8.606219,0.7934812,-2.380444,17.47,1017.626,0,0,1,79
78763,78763,78763,45:01.0,-0.8452407,-0.1147496,0.192877,11.59703,10.19318,-0.6714072,17.47,1017.645,0,0,1,79
78764,78764,78764,45:01.1,-0.7153538,-0.008301035,0.1538133,3.601184,6.897183,11.0477,17.47,1017.591,0,0,1,79
78765,78765,78765,45:01.2,-0.8891873,-0.01611377,0.02685629,-8.606219,-7.141331,28.32118,17.47,1017.591,0,0,1,79
78766,78766,78766,45:01.3,-1.128941,0.03173925,0.002441481,-8.545182,-7.812738,47.30369,17.47,1017.563,0,0,1,79
78767,78767,78767,45:01.4,-0.7656484,-0.05175939,-0.06982635,-18.31111,-13.79437,4.394665,17.47,1017.591,0,0,1,79
78768,78768,78768,45:01.4,-0.8379162,0.002929777,-0.1303751,-6.653035,-15.62548,-16.11377,17.47,1017.563,0,0,1,79
78769,78769,78769,45:01.5,-0.9717094,0.06591998,-0.09912412,5.859554,-9.949034,-25.3914,17.47,1017.591,0,0,1,79
78770,78770,78770,45:01.6,-0.8896756,0.145024,-0.01709037,14.52681,2.929777,-12.08533,17.47,1017.563,0,0,1,79
78771,78771,78771,45:01.7,-1.738823,-0.3242286,0.2846767,-3.418073,9.094516,15.07614,17.47,1017.563,0,0,1,79
78772,78772,78772,45:01.8,-1.20072,-0.2495193,-0.04297006,10.62044,19.71496,8.850368,17.46,1017.556,0,0,1,79
78773,78773,78773,45:01.8,-0.8301035,-0.02392651,0.01855525,8.117924,4.882962,-6.34785,17.46,1017.556,0,0,1,79
78774,78774,78774,45:01.9,-0.7407452,0.0385754,0.1284219,20.08118,0.7934812,-14.16059,17.46,1017.61,0,0,1,79
