,Unnamed: 0,line,time,Acceleration(X)[g],Acceleration(Y)[g],Acceleration(Z)[g],AngularRate(X)[dps],AngularRate(Y)[dps],AngularRate(Z)[dps],Temperature[degree],Pressure[hPa],MagnetCount,MagnetSwitch,onCrossroad,crossroadID
0,[74391],[74391],['1:39:11.28'],[-0.7075411],[-0.0253914],[0.1694388],[18.31111],[4.272591],[-10.37629],[18.3],[1017.508],[0],[0],[1],[2]
1,[74390],[74390],['1:39:11.20'],[-0.7226783],[-0.06201361],[0.06103702],[16.17481],[15.13718],[-0.7324441999999999],[18.3],[1017.488],[0],[0],[1],[2]
2,[74389],[74389],['1:39:11.12'],[-1.174841],[-0.2392651],[0.06738487],[9.277627],[16.23585],[18.98251],[18.3],[1017.488],[0],[0],[1],[2]
3,[74388],[74388],['1:39:11.04'],[-1.079623],[-0.271981],[0.1215857],[0.9765923],[8.850368],[11.78014],[18.3],[1017.516],[0],[0],[1],[2]
4,[74387],[74387],['1:39:10.96'],[-0.9922178],[-0.201178],[-0.06006043],[-0.4882962000000001],[1.709037],[-4.882962],[18.3],[1017.48],[0],[0],[1],[2]
5,[74386],[74386],['1:39:10.88'],[-0.7295145000000001],[-0.1001007],[-0.1289101999999999],[-4.2115550000000015],[-2.319407],[-7.385478999999999],[18.3],[1017.461],[0],[0],[1],[2]
6,[74385],[74385],['1:39:10.80'],[-0.8042238],[-0.126957],[-0.06250191],[-5.676443],[-5.249184],[-2.929777],[18.3],[1017.461],[0],[0],[1],[2]
7,[74384],[74384],['1:39:10.72'],[-0.849147],[-0.09082308],[-0.02392651],[-11.10874],[-14.09955],[0.6714071999999999],[18.3],[1017.461],[0],[0],[1],[2]
8,[74383],[74383],['1:39:10.64'],[-0.976104],[-0.1328166],[-0.0512711],[-19.22666],[-4.028443],[23.7434],[18.3],[1017.453],[0],[0],[1],[2]
9,[74382],[74382],['1:39:10.56'],[-1.113804],[-0.2866299],[-0.1499069],[-1.892148],[-6.653035000000001],[-22.46162],[18.3],[1017.453],[0],[0],[1],[2]
10,[74381],[74381],['1:39:10.48'],[-0.7710196],[-0.06152532],[0.1811579],[1.525926],[-19.9591],[-31.37303],[18.3],[1017.48],[0],[0],[1],[2]
11,[74380],[74380],['1:39:10.40'],[-0.9858699],[-0.04150517],[0.2783288],[22.27851],[-5.615406],[-25.45244],[18.3],[1017.453],[0],[0],[1],[2]
12,[74379],[74379],['1:39:10.32'],[-0.6718955],[0.01025422],[0.08301035],[29.78607],[-3.47911],[-14.22163],[18.3],[1017.453],[0],[0],[1],[2]
13,[74378],[74378],['1:39:10.24'],[-0.7856685],[-0.08740501],[0.05371258],[-1.525926],[16.66311],[1.953185],[18.3],[1017.488],[0],[0],[1],[2]
14,[74377],[74377],['1:39:10.16'],[-1.191931],[-0.3393658],[0.08008057],[-4.699851],[5.798517],[19.53185],[18.31],[1017.496],[0],[0],[1],[2]
15,[74376],[74376],['1:39:10.08'],[-1.938536],[-0.3144627],[0.2988372],[-12.39051],[-4.08948],[-2.624592],[18.31],[1017.469],[0],[0],[1],[2]
16,[74375],[74375],['1:39:10.00'],[-0.791528],[-0.04541154],[-0.02099673],[-23.01096],[-3.173925],[-17.029329999999998],[18.31],[1017.469],[0],[0],[0],[0]
17,[74374],[74374],['1:39:09.92'],[-0.8047121],[0.013184],[0.0249031],[-15.9917],[-3.662221],[-9.094516],[18.3],[1017.461],[0],[0],[0],[0]
18,[74373],[74373],['1:39:09.84'],[-0.7802973000000001],[0.1113315],[0.1147496],[-12.14637],[-5.798517],[-0.3051851],[18.3],[1017.434],[0],[0],[0],[0]
19,[74372],[74372],['1:39:09.76'],[-0.9795221],[-0.10889],[-0.07422101],[-22.64473],[3.173925],[8.911405],[18.3],[1017.434],[0],[0],[0],[0]
20,[74371],[74371],['1:39:09.68'],[-0.9585254],[-0.1171911],[0.2045961],[0.9155553],[3.784295],[3.723258],[18.3],[1017.461],[0],[0],[0],[0]
21,[74370],[74370],['1:39:09.60'],[-1.53618],[-0.1015656],[0.1577197],[-2.014222],[3.723258],[-7.690664],[18.3],[1017.453],[0],[0],[0],[0]
22,[74369],[74369],['1:39:09.52'],[-0.923368],[-0.05957213],[0.1826228],[-1.648],[1.831111],[-6.775109],[18.3],[1017.453],[0],[0],[0],[0]
23,[74368],[74368],['1:39:09.44'],[-0.8408459999999999],[0.09375286],[0.1640675],[3.234962],[4.455702],[14.954070000000002],[18.3],[1017.461],[0],[0],[0],[0]
24,[74367],[74367],['1:39:09.36'],[-0.7759026],[0.04150517],[0.1157262],[-0.9155553],[10.13214],[24.04859],[18.3],[1017.516],[0],[0],[0],[0]
25,[74366],[74366],['1:39:09.28'],[-1.071322],[-0.08691671],[0.07470931],[-7.385478999999999],[17.1514],[16.296879999999998],[18.3],[1017.48],[0],[0],[0],[0]
26,[74365],[74365],['1:39:09.20'],[-0.7768792],[-0.2109439],[0.1084017],[-10.92563],[3.845332],[7.873775],[18.3],[1017.453],[0],[0],[0],[0]
27,[74364],[74364],['1:39:09.12'],[-1.4531690000000002],[-0.3095798],[0.08105716],[-11.10874],[-9.399701],[-21.30192000000001],[18.3],[1017.453],[0],[0],[0],[0]
28,[74363],[74363],['1:39:09.04'],[-0.9048128],[0.07031465],[0.09082308],[-0.9765923],[-9.643849],[-16.296879999999998],[18.3],[1017.488],[0],[0],[0],[0]
29,[74362],[74362],['1:39:08.96'],[-0.8882107],[-0.0385754],[0.05175939],[-3.967406],[-0.8545183000000001],[-4.577776],[18.3],[1017.488],[0],[0],[0],[0]
30,[74361],[74361],['1:39:08.88'],[-0.9492477],[-0.02929777],[0.1767632],[8.056887],[-22.40059],[14.70992],[18.3],[1017.488],[0],[0],[0],[0]
31,[74360],[74360],['1:39:08.80'],[-1.024934],[-0.04150517],[-0.04052858],[-15.56444],[-5.859554],[14.28266],[18.3],[1017.516],[0],[0],[0],[0]
32,[74359],[74359],['1:39:08.72'],[-1.668996],[-0.1621143],[0.08252205],[-0.7324441999999999],[1.586962],[-15.44237],[18.31],[1017.523],[0],[0],[0],[0]
33,[74358],[74358],['1:39:08.64'],[-0.6587115],[-0.07519761],[0.253914],[9.82696],[1.342814],[-31.556140000000006],[18.31],[1017.496],[0],[0],[0],[0]
34,[74357],[74357],['1:39:08.56'],[-0.7939695999999999],[0.09521775],[0.2700278],[28.93155],[-2.685629],[-29.908140000000003],[18.3],[1017.488],[0],[0],[0],[0]
35,[74356],[74356],['1:39:08.48'],[-0.7876217],[0.02880947],[0.1816462],[28.74844],[-1.098666],[-20.63051],[18.3],[1017.508],[0],[0],[0],[0]
36,[74355],[74355],['1:39:08.40'],[-0.9682913],[-0.02636799],[0.1230506],[13.36711],[10.37629],[9.094516],[18.3],[1017.48],[0],[0],[0],[0]
37,[74354],[74354],['1:39:08.32'],[-1.184118],[-0.1152379],[0.1938536],[5.798517],[2.319407],[3.6011839999999995],[18.3],[1017.508],[0],[0],[0],[0]
38,[74353],[74353],['1:39:08.24'],[-1.374554],[-0.03271584],[0.232429],[-5.554368],[-5.188147],[-12.39051],[18.3],[1017.508],[0],[0],[0],[0]
39,[74352],[74352],['1:39:08.16'],[-0.849147],[-0.03076266],[-0.006836146],[-18.00592],[-4.699851],[-12.75674],[18.3],[1017.488],[0],[0],[0],[0]
40,[74351],[74351],['1:39:08.08'],[-0.8779565],[0.1440474],[0.08105716],[-6.2257760000000015],[-13.91644],[-9.82696],[18.3],[1017.543],[0],[0],[0],[0]
41,[74350],[74350],['1:39:08.00'],[-0.9155553],[0.1528367],[0.1025422],[-6.5309610000000005],[-10.07111],[-3.845332],[18.3],[1017.543],[0],[0],[0],[0]
42,[74349],[74349],['1:39:07.92'],[-0.9638966],[0.03320414],[0.04541154],[-3.906369],[-0.7934812],[11.90222],[18.31],[1017.523],[0],[0],[0],[0]
43,[74348],[74348],['1:39:07.84'],[-0.9155553],[0.1098666],[0.105472],[4.577776],[0.0],[3.1128880000000003],[18.31],[1017.551],[0],[0],[0],[0]
44,[74347],[74347],['1:39:07.76'],[-1.399945],[0.09668264],[0.1806696],[5.371258],[1.037629],[-8.728292999999999],[18.3],[1017.543],[0],[0],[0],[0]
45,[74346],[74346],['1:39:07.68'],[-0.8794214],[0.06836146],[0.2329173],[5.798517],[0.2441481],[-16.113770000000002],[18.3],[1017.543],[0],[0],[0],[0]
46,[74345],[74345],['1:39:07.60'],[-0.822779],[0.09033479],[0.1840876],[1.464888],[2.502518],[-18.55525],[18.3],[1017.543],[0],[0],[0],[0]
47,[74344],[74344],['1:39:07.52'],[-0.8100833000000001],[0.113773],[0.2085025],[12.14637],[-6.2257760000000015],[-6.5309610000000005],[18.3],[1017.57],[0],[0],[0],[0]
48,[74343],[74343],['1:39:07.44'],[-0.9262978],[0.1264687],[0.1469771],[3.357036],[13.245029999999998],[15.93066],[18.3],[1017.543],[0],[0],[0],[0]
49,[74342],[74342],['1:39:07.36'],[-0.9272744],[0.1372112],[0.08740501],[6.5309610000000005],[-9.704886],[4.2115550000000015],[18.31],[1017.523],[0],[0],[0],[0]
50,[74341],[74341],['1:39:07.28'],[-0.8296152],[0.1142613],[0.1059603],[-12.08533],[-9.949034],[-2.807703],[18.31],[1017.523],[0],[0],[0],[0]
51,[74340],[74340],['1:39:07.20'],[-0.8286386],[0.1567431],[0.1464888],[-10.13214],[-4.577776],[-6.408887],[18.31],[1017.523],[0],[0],[0],[0]
52,[74339],[74339],['1:39:07.12'],[-0.7905515000000001],[0.1704154],[0.1635792],[3.357036],[-8.117924],[2.197333],[18.31],[1017.523],[0],[0],[0],[0]
53,[74338],[74338],['1:39:07.04'],[-0.9800104],[0.07763909],[0.1386761],[-6.775109],[-5.12711],[4.333628],[18.31],[1017.551],[0],[0],[0],[0]
54,[74337],[74337],['1:39:06.96'],[-0.9897763],[0.0629902],[0.140141],[-0.5493332],[-5.432295],[20.99673],[18.31],[1017.551],[0],[0],[0],[0]
55,[74336],[74336],['1:39:06.88'],[-1.285195],[0.02685629],[0.1513717999999999],[5.920591],[-3.051851],[3.540147],[18.31],[1017.551],[0],[0],[0],[0]
56,[74335],[74335],['1:39:06.80'],[-0.8882107],[0.01123081],[0.2348704],[1.1597030000000002],[-6.95822],[-3.967406],[18.31],[1017.496],[0],[0],[0],[0]
57,[74334],[74334],['1:39:06.72'],[-0.8511002000000001],[0.05859554],[0.3344829],[9.82696],[-0.4272591],[-4.638813],[18.3],[1017.488],[0],[0],[0],[0]
58,[74333],[74333],['1:39:06.64'],[-0.8384045],[0.1728568],[0.2797937],[12.02429],[2.502518],[-12.93985],[18.31],[1017.523],[0],[0],[0],[0]
59,[74332],[74332],['1:39:06.56'],[-0.7695546999999999],[0.03222755],[0.2251045],[10.13214],[1.22074],[-6.34785],[18.31],[1017.496],[0],[0],[0],[0]
60,[74331],[74331],['1:39:06.48'],[-0.9555956],[0.1108432],[0.2944426],[16.05274],[14.46577],[5.859554],[18.3],[1017.516],[0],[0],[0],[0]
61,[74330],[74330],['1:39:06.40'],[-0.9502243],[0.03906369],[0.1870174],[15.62548],[-3.295999],[12.32948],[18.3],[1017.516],[0],[0],[0],[0]
62,[74329],[74329],['1:39:06.32'],[-1.691946],[-0.07715079],[0.4526505],[4.882962],[-7.141331],[0.9155553],[18.3],[1017.488],[0],[0],[0],[0]
63,[74328],[74328],['1:39:06.24'],[-0.9453413],[0.09961241],[0.1699271],[7.324441999999999],[-15.19822],[-11.71911],[18.3],[1017.516],[0],[0],[0],[0]
64,[74327],[74327],['1:39:06.16'],[-0.8198493],[0.1386761],[0.232429],[8.484145],[-12.45155],[-18.92148],[18.31],[1017.523],[0],[0],[0],[0]
65,[74326],[74326],['1:39:06.08'],[-0.8862575],[0.09961241],[0.1987365],[18.12799],[-10.74252],[-13.00089],[18.3],[1017.516],[0],[0],[0],[0]
66,[74325],[74325],['1:39:06.00'],[-0.8115481999999999],[0.1464888],[0.2446364],[22.27851],[-8.78933],[-14.70992],[18.3],[1017.48],[0],[0],[0],[0]
67,[74324],[74324],['1:39:05.92'],[-0.967803],[-0.05371258],[0.2334056],[15.86963],[-9.155553],[12.32948],[18.3],[1017.516],[0],[0],[0],[0]
68,[74323],[74323],['1:39:05.84'],[-1.172887],[0.09326456],[0.09863582],[12.87881],[0.9765923],[8.728292999999999],[18.3],[1017.516],[0],[0],[0],[0]
69,[74322],[74322],['1:39:05.76'],[-1.001495],[0.105472],[0.3823359000000001],[16.54103],[-8.606219],[-7.629627],[18.3],[1017.516],[0],[0],[0],[0]
70,[74321],[74321],['1:39:05.68'],[-0.8042238],[0.1098666],[0.3364361],[5.12711],[-10.62044],[-9.704886],[18.3],[1017.488],[0],[0],[0],[0]
